Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Company Status,Transactions Number,Amount (GBP),VAT Registration Number
FCO,FCO,2010-04-19T00:00:00Z,Programme and Project Management Consultancy,DG FINANCE,CONCERTO CONSULTING LIMITED,Dissolved,1162079,28050.0,
FCO,FCO,2010-04-19T00:00:00Z,Overseas Duty Travel,DG FINANCE,CONCERTO CONSULTING LIMITED,Dissolved,1162079,3965.99,
FCO,FCO,2010-04-19T00:00:00Z,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CONCERTO CONSULTING LIMITED,Dissolved,1162079,5602.8,
FCO,FCO,2010-05-04T00:00:00Z,Programme and Project Management Consultancy,DG FINANCE,CONCERTO CONSULTING LIMITED,Dissolved,1163059,7650.0,
FCO,FCO,2010-05-04T00:00:00Z,Programme and Project Management Consultancy,DG FINANCE,CONCERTO CONSULTING LIMITED,Dissolved,1163059,11475.0,
FCO,FCO,2010-05-04T00:00:00Z,Programme and Project Management Consultancy,DG FINANCE,CONCERTO CONSULTING LIMITED,Dissolved,1163059,5100.0,
FCO,FCO,2010-05-04T00:00:00Z,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CONCERTO CONSULTING LIMITED,Dissolved,1163059,4239.38,
FCO,FCO,2010-04-26T00:00:00Z,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,WORLD INSTITUTE OF SUSTAINABLE ENERGY,Unknown,18274,48551.2,
FCO,FCO,2010-04-26T00:00:00Z,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,WORLD INSTITUTE OF SUSTAINABLE ENERGY,Unknown,18274,-48551.2,
FCO,FCO,2010-04-26T00:00:00Z,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,WORLD INSTITUTE OF SUSTAINABLE ENERGY,Unknown,18274,34892.55,
FCO,FCO,2010-04-26T00:00:00Z,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,WORLD INSTITUTE OF SUSTAINABLE ENERGY,Unknown,18274,3799.96,
FCO,FCO,2010-04-06T00:00:00Z,General Information Services,DG CHANGE & DELIVERY,BULLET MARKETING LIMITED,Active,1161066,27000.0,
FCO,FCO,2010-04-06T00:00:00Z,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,BULLET MARKETING LIMITED,Active,1161066,4725.0,
FCO,FCO,2010-05-11T00:00:00Z,General Information Services,DG CHANGE & DELIVERY,BULLET MARKETING LIMITED,Active,1163553,26572.0,
FCO,FCO,2010-05-11T00:00:00Z,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,BULLET MARKETING LIMITED,Active,1163553,4650.1,
FCO,FCO,2010-04-07T00:00:00Z,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,SYNTAO CO LTD,Unknown,1192261,44136.32,
FCO,FCO,2010-04-12T00:00:00Z,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,ELEMENT ENERGY HOLDINGS LIMITED,Active,1161573,38500.0,
