name,party,votes
"Aljunied GRC","Worker's Party (WP)",54.71
"Ang Mo Kio GRC",PAP,69.33
"Bishan-Toa Payoh GRC",PAP,56.94
"Bukit Panjang SMC",PAP,66.26
"Choa Chu Kang GRC",PAP,61.20
"East Coast GRC",PAP,54.83
"Holland-Bukit Timah GRC",PAP,60.10
"Hong Kah North SMC",PAP,70.61
"Hougang SMC","Worker's Party (WP)",62.1
"Joo Chiat SMC",PAP,51.01
"Jurong GRC",PAP,66.96
"Marine Parade GRC",PAP,56.65
"Moulmein-Kallang GRC",PAP,58.56
"Mountbatten SMC",PAP,58.65
"Nee Soon GRC",PAP,58.39
"Pasir Ris-Punggol GRC",PAP,64.79
"Pioneer SMC",PAP,60.73
"Potong Pasir SMC",PAP,50.36
"Punggol East SMC","Worker's Party (WP)",54.52
"Radin Mas SMC",PAP,67.11
"Sembawang GRC",PAP,63.89
"Sengkang West SMC",PAP,58.08
"Tampines GRC",PAP,57.22
"Tanjong Pagar GRC",PAP,100
"West Coast GRC",PAP,66.57
"Whampoa SMC",PAP,66.11
"Yuhua SMC",PAP,66.87
