Company name,Total transaction value (GBP)
AAR ENVIRONMENTAL LTD - ASSOCIATED ASBESTOS REMOVAL LTD,28000
AL-RAMI MOTORS COMPANY,46529.11
ARTICLE 19,58681
ASSOC OF COMMONWEALTH UNIVERSITIES,34948.03
BRITISH COUNCIL,142903.99
BULLET MARKETING LTD,62947.1
BUYING SOLUTIONS,112740.63
CABLE AND WIRELESS,133585.75
CAPGEMINI  UK PLC,193098.09
COFFEY INTERNATIONAL DEVELOPMENT,213173.91
COGENT ELECTRICAL SERVICES LTD,101617.71
CONCERTO CONSULTING LTD,66083.17
DESIGN IT SOLUTIONS LTD,62479.45
DTZ CONSULTING AND RESEARCH,151189.42
ELEMENT ENERGY,92237.5
ESSENT TRADING INTERNATIONAL SA,740400
FISCAL CRIME LIAISON OFFICE,89822.37
FUJITSU SERVICES LIMITED,295976.99
GIBS LTD,628784.44
GLOBAL PARTNERS & ASSOCIATES LTD,74988
HEALIX INTERNATIONAL LTD,132948.34
HEWLETT-PACKARD LTD,1987604.35
INTERNATIONAL PEACE COOPERATION CENTER,27328.13
INTERSERVE FM LTD,1760706.32
JOHNSON CONTROLS LTD,46545
KOFI ANNAN FOUNDATION,200000
LONDON ENERGY,92851.13
MARSHALL AID COMMERATION COMMISSION,300000
MONRO WHITE HILTON LTD,25366.81
NATIONAL INSTITUTE OF PUBLIC FINANCE AND POLICY,54952.14
NATIONAL POLICING IMPROVEMENT AGENCY (NPIA),27381
OPUS MAGNUM,46577.58
PARK COMMUNICATIONS LTD,59960
RENAISSANCE FINANCE INTERNATIONAL (UK) LIMITED,46777
S & R FURNISHING CONSULTANTS,45916
SIMBA TRAVELCARE,25894.11
SYNTAO CO LTD,44136.32
THE TAYLOR CLARKE PARTNERSHIP LTD,81633.5
WESTMINSTER FOUNDATION FOR DEMOCRACY,377498.82
WIESNER-HAGER MOBEL GMBH,47860.15
WORLD INSTITUTE OF SUSTAINABLE ENERGY,38692.51
