CENTRE CODE,key,REGION NAME,AREA NAME,REGIST. CAND. 2015,CLEAN CAND. 2015,PASSED CAND. (I to IV) 2015,value,PASSED PERCENT,color,AVERAGE GPA 2015,BAND OF SCHOOL 2015,BAND OF SCHOOL 2014,RANK OF SCHOOL 2015,RANK OF SCHOOL 2014
S4631,KAIZIREGE SECONDARY SCHOOL,Kagera,Lake,73,72,72,72,100,green,1.3316,1,1,1,1
S4836,ALLIANCE GIRLS SECONDARY SCHOOL,Mwanza,Lake,41,41,41,41,100,green,1.4136,1,2,2,13
S0239,ST. FRANCIS GIRLS SECONDARY SCHOOL,Mbeya,Southern Highlands,84,84,84,84,100,green,1.4958,1,2,3,4
S4645,ALLIANCE BOYS' SECONDARY SCHOOL,Mwanza,Lake,43,43,43,43,100,green,1.5422,2,1,4,2
S2325,CANOSSA SECONDARY SCHOOL,Dar es Salaam,Coastal,97,97,97,97,100,green,1.5566,2,2,5,7
S4213,MARIAN BOYS' SECONDARY SCHOOL,Pwani,Coastal,112,112,112,112,100,green,1.5709,2,2,6,3
S5327,ALLIANCE ROCK ARMY SECONDARY SCHOOL,Mwanza,Lake,80,80,80,80,100,green,1.5869,2,,7,
S0298,FEZA GIRLS' SECONDARY SCHOOL,Dar es Salaam,Coastal,44,44,44,44,100,green,1.5875,2,2,8,6
S0189,FEZA BOYS' SECONDARY SCHOOL,Dar es Salaam,Coastal,69,68,68,68,100,green,1.6283,2,2,9,10
S0165,URU SEMINARY,Kilimanjaro,Northern,45,45,45,45,100,green,1.6593,2,3,10,40
S0729,MSOLWA SECONDARY SCHOOL,Morogoro,Southern Highlands,99,99,99,99,100,green,1.7038,2,2,11,16
S0295,PRECIOUS BLOOD SECONDARY SCHOOL,Arusha,Northern,92,92,92,92,100,green,1.7289,2,2,12,11
S3470,ABBEY SECONDARY SCHOOL,Mtwara,Southern Highlands,110,110,110,110,100,green,1.7338,2,2,13,5
S0248,MARIAN GIRLS SECONDARY SCHOOL,Pwani,Coastal,139,139,139,139,100,green,1.767,2,2,14,9
S1601,TENGERU BOYS SECONDARY SCHOOL,Arusha,Northern,100,100,100,100,100,green,1.7744,2,2,15,12
