key,Departure_2011,Ticket_class_description,Departure,Destination,value,Supplier_name,Directorate
1,February,Economy,UK,UK,78.91,FLYBE BRITISH EUROPEAN,CRB
2,February,Economy,UK,UK,59.03,EASYJET,CRB
3,February,Economy,UK,UK,71.98,FLYBE BRITISH EUROPEAN,CRB
4,February,Economy,UK,UK,59.03,EASYJET,CRB
5,January,Economy,UK,UK,88.01,FLYBE BRITISH EUROPEAN,IPS
6,January,Economy,UK,UK,276.62,BRITISH AIRWAYS,IPS
7,January,Economy,UK,UK,102.31,FLYBE BRITISH EUROPEAN,IPS
8,January,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,IPS
9,January,Economy,UK,UK,88.01,FLYBE BRITISH EUROPEAN,IPS
10,February,Economy,UK,UK,78.91,FLYBE BRITISH EUROPEAN,IPS
11,January,Economy,UK,UK,156.54,BRITISH AIRWAYS,IPS
12,January,Economy,UK,UK,295.59,BMI,IPS
13,January,Economy,UK,UK,71.03,EASYJET,IPS
14,January,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,IPS
15,February,Economy,UK,UK,116.54,BRITISH AIRWAYS,IPS
16,January,Economy,UK,UK,308.47,FLYBE BRITISH EUROPEAN,IPS
17,January,Economy,UK,UK,295.51,FLYBE BRITISH EUROPEAN,IPS
18,January,Economy,UK,UK,101.03,EASYJET,IPS
19,January,Economy,UK,UK,59.03,EASYJET,IPS
20,February,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,IPS
21,January,Economy,UK,UK,79.03,EASYJET,IPS
22,January,Economy,UK,UK,76.01,FLYBE BRITISH EUROPEAN,IPS
23,January,Economy,UK,UK,44.74,EASYJET,IPS
24,January,Economy,UK,Non EEA,91.03,EASYJET,IPS
25,January,Economy,UK,UK,54.74,EASYJET,IPS
26,January,Economy,UK,UK,195.59,BMI,IPS
27,January,Economy,UK,UK,99.91,FLYBE BRITISH EUROPEAN,IPS
28,January,Economy,UK,UK,124.31,FLYBE BRITISH EUROPEAN,IPS
29,January,Economy,UK,UK,132.01,FLYBE BRITISH EUROPEAN,IPS
30,January,Economy,UK,UK,146.33,FLYBE BRITISH EUROPEAN,IPS
31,January,Economy,UK,UK,274.51,FLYBE BRITISH EUROPEAN,IPS
32,January,Economy,UK,UK,182.01,FLYBE BRITISH EUROPEAN,IPS
33,February,Economy,UK,Non EEA,488.83,BRITISH AIRWAYS,IPS
34,January,Business Class,UK,UK,103.69,BRITISH AIRWAYS,IPS
35,January,Economy,UK,UK,132.01,FLYBE BRITISH EUROPEAN,IPS
36,January,Economy,UK,UK,177.15,FLYBE BRITISH EUROPEAN,IPS
37,January,Economy,UK,UK,157.15,FLYBE BRITISH EUROPEAN,IPS
38,January,Economy,UK,UK,234.59,BMI,IPS
39,January,Economy,UK,UK,198.54,BRITISH AIRWAYS,IPS
40,January,Business Class,UK,UK,206.54,BRITISH AIRWAYS,IPS
41,January,Economy,UK,UK,63.81,FLYBE BRITISH EUROPEAN,IPS
42,January,Economy,UK,UK,228.5,EASTERN AIRWAYS,IPS
43,January,Economy,UK,UK,276.62,BRITISH AIRWAYS,IPS
44,January,Economy,UK,UK,290.59,BMI,IPS
45,January,Economy,UK,UK,132.01,FLYBE BRITISH EUROPEAN,IPS
46,January,Economy,UK,UK,91.6,FLYBE BRITISH EUROPEAN,IPS
47,February,Economy,UK,UK,91.6,FLYBE BRITISH EUROPEAN,IPS
48,January,Economy,UK,UK,158.51,FLYBE BRITISH EUROPEAN,IPS
49,January,Economy,UK,UK,109.96,BMI BABY,IPS
50,January,Business Class,UK,UK,122.85,BRITISH AIRWAYS,IPS
51,January,Economy,UK,UK,308.47,FLYBE BRITISH EUROPEAN,IPS
52,January,Economy,UK,UK,66.51,FLYBE BRITISH EUROPEAN,IPS
53,January,Economy,UK,UK,48.74,EASYJET,IPS
54,January,Economy,UK,UK,149.8,MANX2,IPS
55,January,Economy,UK,UK,295.59,BMI,IPS
56,January,Economy,UK,UK,218.05,FLYBE BRITISH EUROPEAN,IPS
57,January,Economy,UK,UK,88.69,BRITISH AIRWAYS,IPS
58,January,Economy,UK,UK,87.01,FLYBE BRITISH EUROPEAN,IPS
59,January,Economy,UK,UK,151.01,FLYBE BRITISH EUROPEAN,IPS
60,January,Economy,UK,UK,130.2,FLYBE BRITISH EUROPEAN,IPS
61,January,Economy,UK,UK,91.31,FLYBE BRITISH EUROPEAN,IPS
62,January,Economy,UK,UK,53.74,EASYJET,IPS
63,February,Economy,UK,UK,78.91,FLYBE BRITISH EUROPEAN,IPS
64,March,Economy,UK,Non EEA,389.1,KLM-ROYAL DUTCH AIRLINES,IPS
65,January,Economy,UK,EEA,271.37,LOT-POLISH AIRLINES,IPS
66,January,Economy,UK,UK,35.97,FLYBE BRITISH EUROPEAN,IPS
67,January,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,IPS
68,January,Economy,UK,UK,254.51,FLYBE BRITISH EUROPEAN,IPS
69,January,Economy,UK,UK,75.03,EASYJET,IPS
70,February,Economy,UK,UK,146.62,BRITISH AIRWAYS,IPS
71,January,Economy,UK,UK,156.59,BMI,IPS
72,March,Economy,UK,UK,126,AIR SOUTHWEST,IPS
73,January,Economy,UK,UK,91.6,FLYBE BRITISH EUROPEAN,IPS
74,February,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,IPS
75,January,Economy,UK,UK,161.59,BMI,IPS
76,January,Economy,UK,UK,276.62,BRITISH AIRWAYS,IPS
77,January,Economy,UK,UK,198.54,BRITISH AIRWAYS,IPS
78,February,Economy,UK,UK,253.59,BMI,IPS
79,January,Economy,UK,UK,44.74,EASYJET,IPS
80,February,Economy,UK,UK,66.91,FLYBE BRITISH EUROPEAN,IPS
81,February,Economy,UK,UK,111.03,EASYJET,IPS
82,January,Economy,UK,UK,211.62,BRITISH AIRWAYS,IPS
83,February,Economy,UK,UK,11.99,FLYBE BRITISH EUROPEAN,IPS
84,February,Economy,UK,Non EEA,491.03,BRITISH AIRWAYS,IPS
85,January,Economy,UK,UK,9.6,FLYBE BRITISH EUROPEAN,IPS
86,February,Economy,UK,UK,146.62,BRITISH AIRWAYS,IPS
87,February,Economy,UK,Non EEA,772.1,QATAR AIRWAYS,IPS
