Country,Year,Contribution,CPI Score,Population,Color
ecuador,2010,92950,,15001072,Americas
ecuador,2011,162560,27,15246481,Americas
ecuador,2012,39529,32,15492264,Americas
ecuador,2013,,35,15737860,Americas
guatemala,2010,3322202,,14341576,Americas
guatemala,2011,4973441,27,14706578,Americas
guatemala,2012,4014205,33,15082831,Americas
guatemala,2013,457328,29,15453458.5,Americas
egypt,2010,1057196,,78075705,Africa
egypt,2011,1933957,29,79392466,Africa
egypt,2012,1439144,32,80721874,Africa
egypt,2013,1987860,32,82044958.5,Africa
ethiopia,2010,1046800,,87095281,Africa
ethiopia,2011,2834999,27,89393063,Africa
ethiopia,2012,4538960,33,91728849,Africa
ethiopia,2013,5344706,33,94045633,Africa
honduras,2010,63349,,7621204,Americas
honduras,2013,,26,8093167,Americas
honduras,2011,,26,7776669,Americas
honduras,2012,,28,7935846,Americas
bangladesh,2010,2564833,,151125475,Asia
bangladesh,2011,2729512,27,152862431,Asia
bangladesh,2012,4074144,26,154695368,Asia
bangladesh,2013,2756257,27,156480314.5,Asia
sudan,2010,3293594,,35652002,Africa
sudan,2011,8268657,16,36430923,Africa
sudan,2012,1960966,13,37195349,Africa
sudan,2013,159852,11,37967022.5,Africa
sri lanka,2010,118461,,20653000,Asia
sri lanka,2011,216918,33,20869000,Asia
sri lanka,2012,10000,40,20328000,Asia
sri lanka,2013,836,37,20165500,Asia
bosnia and herzegovina,2010,471534,,3845929,Europe
bosnia and herzegovina,2011,3063522,32,3839322,Europe
bosnia and herzegovina,2012,5168380,42,3833916,Europe
bosnia and herzegovina,2013,441000,42,3827909.5,Europe
albania,2010,39531,,3150143,Europe
albania,2013,,31,3168053,Europe
albania,2011,,31,3153883,Europe
albania,2012,,33,3162083,Europe
colombia,2010,1363116,,46444798,Americas
colombia,2011,4171738,34,47078792,Americas
colombia,2012,4235819,36,47704427,Americas
colombia,2013,2510521,36,48334241.5,Americas
burundi,2010,1687792,,9232753,Africa
burundi,2011,11804534,19,9540362,Africa
burundi,2012,2942241,19,9849569,Africa
burundi,2013,3078348,21,10157977,Africa
serbia,2010,516207,,7291436,Europe
serbia,2011,395347,33,7258745,Europe
serbia,2012,24542,39,7223887,Europe
serbia,2013,,42,7190112.5,Europe
ghana,2010,129093,,24262901,Africa
ghana,2013,,46,25918242.5,Africa
ghana,2011,,39,24820706,Africa
ghana,2012,,45,25366462,Africa
suriname,2010,2096117,,524960,
suriname,2011,137494,30,529761,
suriname,2012,530697,37,534541,
suriname,2013,30503,36,539331.5,
tanzania,2010,92861,,44973330,Africa
tanzania,2011,14624656,30,46354607,Africa
tanzania,2012,4618439,35,47783107,Africa
tanzania,2013,434475,33,49187995.5,Africa
thailand,2010,98204,,66402316,Asia
thailand,2011,24700,34,66576332,Asia
thailand,2012,142424,37,66785001,Asia
thailand,2013,48100,35,66976343.5,Asia
mozambique,2010,702470,,23967265,Africa
mozambique,2011,2249354,27,24581367,Africa
mozambique,2012,2552002,31,25203395,Africa
mozambique,2013,1243193,30,25821460,Africa
philippines,2010,11520,,93444322,Asia
philippines,2011,78744,26,95053437,Asia
philippines,2013,,36,98337985,Asia
philippines,2012,,34,96706764,Asia
kenya,2010,794794,,40909194,Africa
kenya,2011,4619938,22,42027891,Africa
kenya,2012,3501841,27,43178141,Africa
kenya,2013,2625000,27,44312614.5,Africa
indonesia,2010,1643952,,240676485,Asia
indonesia,2011,12884217,30,243801639,Asia
indonesia,2012,3137036,32,246864191,Asia
indonesia,2013,4984932,32,249958044,Asia
montenegro,2010,87675,,620078,Europe
montenegro,2011,44900,40,620644,Europe
montenegro,2013,,44,621582.5,Europe
montenegro,2012,,41,621081,Europe
bolivia,2010,2319190,,10156601,Americas
bolivia,2011,2879052,28,10324445,Americas
bolivia,2012,1930719,34,10496285,Americas
bolivia,2013,2900000,34,10666127,Americas
mali,2010,200000,,13985961,Africa
mali,2011,234141,28,14416737,Africa
mali,2012,615652,34,14853572,Africa
mali,2013,7379909,28,15287377.5,Africa
el salvador,2010,57200,,6218195,Americas
el salvador,2011,95200,34,6256242,Americas
el salvador,2013,,38,6336993.5,Americas
el salvador,2012,,38,6297394,Americas
peru,2010,163462,,29262830,Americas
peru,2011,442452,34,29614887,Americas
peru,2012,100688,38,29987800,Americas
peru,2013,,38,30350285,Americas
pakistan,2010,664950,,173149306,Asia
pakistan,2011,2256240,25,176166353,Asia
pakistan,2012,2093000,27,179160111,Asia
pakistan,2013,3268000,28,182165513.5,Asia
rwanda,2010,715900,,10836732,Africa
rwanda,2011,1660280,50,11144315,Africa
rwanda,2012,5189015,53,11457801,Africa
rwanda,2013,12987725,53,11768335.5,Africa
nicaragua,2010,188045,,5822209,Americas
nicaragua,2011,1703320,25,5905146,Americas
nicaragua,2012,635946,29,5991733,Americas
nicaragua,2013,1010800,28,6076495,Americas
nigeria,2010,347726,,159707780,Africa
nigeria,2011,713080,24,164192925,Africa
nigeria,2012,976120,27,168833776,Africa
nigeria,2013,1367300,25,173396774,Africa
senegal,2010,282367,,12950564,Africa
senegal,2011,250000,29,13330737,Africa
senegal,2012,200000,36,13726021,Africa
senegal,2013,146000,41,14113749.5,Africa
afghanistan,2010,10784366,,28397812,Asia
afghanistan,2011,17241555,15,29105480,Asia
afghanistan,2012,3909254,8,29824536,Asia
afghanistan,2013,19738218,8,30537898,Asia
turkey,2010,70975,,72137546,Europe
turkey,2011,87646,42,73058638,Europe
turkey,2012,264100,49,73997128,Europe
turkey,2013,183159,50,74926919,Europe
myanmar,2010,287553,,51931231,Asia
myanmar,2011,157504,15,52350763,Asia
myanmar,2012,153633,15,52797319,Asia
myanmar,2013,470653,21,53230363,Asia
cambodia,2010,394537,,14364931,Asia
cambodia,2011,47796,21,14605862,Asia
cambodia,2012,4040,22,14864646,Asia
cambodia,2013,9168,20,15114503.5,Asia
south africa,2010,1426000,,49991300,Africa
south africa,2011,2857833,41,50586757,Africa
south africa,2012,613468,43,51189306.614892,Africa
south africa,2013,1656910,42,51788309.922338,Africa
chile,2010,25200,,17150760,Americas
chile,2011,77,72,17308449,Americas
chile,2012,5846,72,17464814,Americas
chile,2013,,71,17621841,Americas
angola,2010,82225,,19549124,Africa
angola,2011,365732,20,20180490,Africa
angola,2012,69706,22,20820525,Africa
angola,2013,4000,23,21456225.5,Africa
iran,2010,163000,,74462314,Asia
iran,2011,1334569,27,75424285,Asia
iran,2012,2430126,28,76424443,Asia
iran,2013,930909,25,77405507.5,Asia
uganda,2010,53800,,33987213,Africa
uganda,2011,3038154,24,35148064,Africa
uganda,2012,2643707,29,36345860,Africa
uganda,2013,12010970,26,37525183.5,Africa
lebanon,2010,70355,,4341092,Asia
lebanon,2011,334069,25,4382790,Asia
lebanon,2012,375950,30,4424888,Asia
lebanon,2013,303870,28,4466786,Asia
georgia,2010,37640,,4452800,
georgia,2011,449186,41,4483400,
georgia,2012,1453551,52,4511800,
georgia,2013,1493163,49,4541300,
kyrgyzstan,2010,14610,,,
kyrgyzstan,2011,14922,21,,
kyrgyzstan,2012,8165,24,,
kyrgyzstan,2013,,24,,
kosovo,2010,500000,,1775680,
