Risk level,Type,Alert number,Alert submitted by,Country of origin,Counterfeit,Risk type,Product,Name,Description,Brand,Category,Type / number of model,Batch number / Barcode,OECD Portal Category,Risk,Measures adopted by notifying country,Products were found and measures were taken also in,Company recall page
Serious risk,Consumer products,A12/0826/17,Germany,India,,Chemical,Leather gloves,Lange Handschuhe Leather Lacing braun (Long leather gloves with lacing),"Brown, unlined leather gloves with long cuffs and decorative leather lacing, size 7,  no packaging. ",Roeckl,"Clothing, textiles and fashion items",Product ref.: 11012-422. Colour: 154,4053071007788,64000000 - Personal Accessories,"The amount of chromium (VI) found in the leather is too high (measured value up to 80.3 mg/kg). Chromium (VI) is sensitising and may trigger allergic reactions. The product does not comply with the REACH regulation.","Measures taken by economic operators: Recall of the product from end users, Withdrawal of the product from the market (By: Importer)",,http://unternehmen.roeckl.com/de/news/ansicht/article/vorsorglicher-rueckruf/ 
Serious risk,Consumer products,A12/0828/17,Germany,India,,Chemical,Lederhosen (Leather trousers),Glenda,"Sand-coloured half-length lederhosen with red lining, additionally with two buttons and leather waistband. ",Lekra,"Clothing, textiles and fashion items",49302; colour: red deer/red,56230W0400139 (GTIN); 71872,67000000 - Clothing,"The amount of chromium (VI) found in the leather is too high (measured value: 3.7 mg/kg). Chromium (VI) is sensitising and may trigger allergic reactions. The product does not comply with the REACH regulation.",Measures taken by economic operators: Withdrawal of the product from the market (By: Importer),,
Serious risk,Consumer products,A12/0841/17,Hungary,Turkey,,Choking,Babies' dress,Unknown,"White and blue dress for babies. The product is decorated with glued pearl parts and rhinestones on glued textile butterflies. Sample size: 74",Baby Rico,"Clothing, textiles and fashion items",1850,1 602240 018501,67000000 - Clothing,The small decorative elements may be easily detached. A small child may put them in the mouth and choke.,"Measures ordered by public authorities (to: Distributor): Recall of the product from end users, Withdrawal of the product from the market",,
Serious risk,Consumer products,A12/0842/17,Hungary,Turkey,,Choking,Girls' dress with bolero,Bébi ruha,"Coral coloured sleeveless dress with long-sleeved white bolero. The dress is decorated with glued rhinestones. The bolero is decorated with half beads. Sample size: 92",GV_ ,"Clothing, textiles and fashion items",YL141212000,10003841,67000000 - Clothing,The small decorative elements may be easily detached. A small child may put them in the mouth and choke.,"Measures ordered by public authorities (to: Distributor): Recall of the product from end users, Withdrawal of the product from the market",,
Serious risk,Consumer products,A12/0832/17,Finland,China,,Electric shock,Android TV box,OTT TV Box 4K,"Android TV box supplied with power supply (AC adapter). Sold in black cardboard box. AC Adapter electrical specifications: Input: 100-240V, 0,3A, 50/60 Hz, Class II; Output: 5V, 2500mA",Unknown,Communication and media equipment,AC Adapter: ANU-050250A,Unknown,66000000 - Communications,"The creepage and clearance distances are too small and the insulation of the power supply unit is inadequate. The user can touch live parts.The product does not comply with the requirements of the Low Voltage Directive and the relevant European standard EN 60065.","Measures ordered by public authorities (to: Importer): Recall of the product from end users, Withdrawal of the product from the market",,
Serious risk,Consumer products,A12/0829/17,Sweden,United States,,Chemical,Teeth whitening strips,Crest 3D White Whitestrips - Supreme Flexfit,"42 individually packed teeth whitening strips (1 strip for upper teeth, 1 strip for lower teeth), sold online to consumers. Unregistered import by third party distributor. The manufacturer did not produce it for direct distribution to consumers in the EU.",Crest,Cosmetics,Unknown,8971400046; (L)6225V44 ,53000000 - Beauty / Personal Care / Hygiene,"The product contains hydrogen peroxide as a bleaching substance (measured concentration up to 10% by weight). Hydrogen peroxide at high concentrations causes skin irritation and is harmful if swallowed. The product does not comply with the Cosmetic Products Regulation.",Measures ordered by public authorities (to: Importer): Warning consumers of the risks,,
Serious risk,Consumer products,A12/0844/17,Germany,The Netherlands,,Chemical,Baby wet wipes,Babytücher - Baby wipes,"30 wipes measuring 20 x 15 cm, sold in a light blue foil packaging, resealable on the front side of the package. Black-and-white baby photo on the front. ",Ultra Soft,Cosmetics,Unknown,Batch No 132591 ,53000000 - Beauty / Personal Care / Hygiene,"The wipes contain methylisothiazolinone (MI) and methylchloroisothiazolinone (MCI) (measured concentration 0.0136% by weight). Dermal contact with MCI/MI-containing products can provoke allergic contact dermatitis to sensitised persons.The product does not comply with the Cosmetic Products regulation.",Measures taken by economic operators: Withdrawal of the product from the market (By: Distributor),,
Serious risk,Consumer products,A12/0833/17,Finland,China,,Fire,Tea light candle,Six tea light candles with coloured flames,Six tea light candles in a cardboard package,Northern Light Candle,Decorative articles,Unknown,6430048390032,75000000 - Household / Office Furniture / Furnishings,"The flames coming from the candles are too high and may ignite flammable material close to the candle. Moreover, the wicks have a long afterglow, possible causing fire if getting in contact with flammable material. Also, the candles produce high temperatures and may cause a candle holder to break, which could cause a fire.The product does not comply with the relevant European standard EN 15493.","Measures ordered by public authorities (to: Importer): Ban on the marketing of the product and any accompanying measures, Recall of the product from end users, Withdrawal of the product from the market",,
Serious risk,Consumer products,A12/0822/17,United Kingdom,China,,Electric shock,Nail lamp,LED Mini Nail Lamp,"Nail gel curing lamp in various colours, supplied with AC/DC adaptor branded as Emerson Network Power. Packaged in white cardboard box.",Unknown,Electrical appliances and equipment,GY-LED-018. Adaptor model: A1299,Unknown,78000000 - Electrical Supplies,"The adaptor has inadequate insulation and has not been fitted with overload or short circuit protection. The size of the plug pins is incorrect.The product does not comply with the requirements of the Low Voltage Directive, the relevant European standards EN 60950 and EN 60335 and the relevant national standard.",Measures taken by economic operators: Recall of the product from end users (By: Importer),,
Serious risk,Consumer products,A12/0830/17,Hungary,Unknown,,Electric shock,Digital clock and calendar,LED Digital Calendar / DIGITÁLIS LED KIJELZ_S,"Digital electronic calendar integrated with alarm clock and temperature display. Packaging: colourful cardboard box.",Unknown,Electrical appliances and equipment,Patent (ZL): 200630008994.8; ZXTL-13A,4 137685 313050 ,78000000 - Electrical Supplies,"The dimensions of the flat plug are substantially less than required and the pins of the plug do not have an insulating collar. When inserting the plug the user may touch the live pins. The soldered wire ends of the mains cable are not properly secured against loosening. As a consequence, the cable could become loose causing accessible parts to become live. The product does not comply with the requirements of the Low Voltage Directive and the relevant European standard EN 60335.","Measures ordered by public authorities (to: Distributor): Recall of the product from end users, Withdrawal of the product from the market",,
