Borough,Before closures
Barking and Dagenham,347.5796946
Barnet,382.4238233
Bexley,355.7133082
Brent,358.9557595
Bromley,383.9837057
Camden,284.0886178
City of London,290.1475347
Croydon,340.0273228
Ealing,339.3404733
Enfield,389.522018
Greenwich,318.7235484
Hackney,294.7442832
Hammersmith and Fulham,316.2580054
Haringey,345.0769636
Harrow,382.5259821
Havering,358.5805711
Hillingdon,395.8209408
Hounslow,363.22816
Islington,285.1201471
Kensington and Chelsea,277.9653337
Kingston upon Thames,365.5057408
Lambeth,281.1902034
Lewisham,292.8548698
Merton,348.3501956
Newham,306.6676451
Redbridge,345.280436
Richmond upon Thames,389.6549162
Southwark,286.8632225
Sutton,370.6324435
Tower Hamlets,274.4220382
Waltham Forest,329.0666162
Wandsworth,313.5303647
Westminster,307.2440614
