GP_Type,Contract_Type,Country,Gender,Age_Band,Estimated_Population,Effective_Returns,Average_Gross_Earnings_from_Self_Employment_�,Average_Gross_Earnings_from_Employment_�,Average_Total_Gross_Earnings_�,Average_Total_Expenses_�,Average_Total_Income_Before_Tax_�,Standard_Error_of_Average_Total_Income_Before_Tax_�
Salaried,GPMS,UK,Female,20-35,3000,1750,<10k,46100,55200,5300,49900,295
Salaried,GPMS,UK,Female,35-40,1400,850,>10k<20k,43700,54200,5800,48400,491
Salaried,GPMS,UK,Female,40-50,450,250,>10k<20k,47200,57400,5400,52100,980
Salaried,GPMS,UK,Female,50-65,50,50,<10k,36200,44800,5200,39600,2194
Salaried,GPMS,UK,Male,20-35,1100,700,>20k<30k,61600,87300,11400,75800,589
Salaried,GPMS,UK,Male,35-40,550,350,>30k,66900,99500,12400,87000,1146
Salaried,GPMS,UK,Male,40-50,300,150,>10k<20k,72500,91800,7900,83900,2044
Salaried,GPMS,UK,Male,50-65,250,100,>10k<20k,40000,58500,6500,52000,1788
Salaried,GMS,UK,Female,20-35,1350,750,>10k<20k,44700,54800,5500,49300,440
Salaried,GMS,UK,Female,35-40,650,400,<10k,41600,51600,5500,46100,726
Salaried,GMS,UK,Female,40-50,200,100,>10k<20k,44500,57100,6400,50700,1497
Salaried,GMS,UK,Male,20-35,500,300,>20k<30k,60600,86900,11200,75800,912
Salaried,GMS,UK,Male,35-40,200,100,>20k<30k,68600,97100,11100,86000,1905
Salaried,GMS,UK,Male,40-50,100,50,>10k<20k,77200,90000,6300,83800,4009
Salaried,GMS,UK,Male,50-65,100,50,>20k<30k,33200,58800,9000,49900,2853
Salaried,PMS,UK,Female,20-35,1650,950,<10k,47300,55500,5100,50300,396
Salaried,PMS,UK,Female,35-40,800,500,>10k<20k,45300,56300,6100,50200,661
Salaried,PMS,UK,Female,40-50,250,150,<10k,49000,57600,4600,53000,1287
Salaried,PMS,UK,Male,20-35,600,400,>20k<30k,62400,87500,11600,75900,771
Salaried,PMS,UK,Male,35-40,350,250,>30k,66100,100700,13100,87600,1436
Salaried,PMS,UK,Male,40-50,200,100,>20k<30k,70500,92600,8600,83900,2367
Salaried,PMS,UK,Male,50-65,150,100,>10k<20k,43300,58300,5200,53100,2270
